ballot_number,ballot_name,position
1,4PS,PARTYLIST
2,PPP,PARTYLIST
3,FPJ PANDAY BAYANIHAN,PARTYLIST
4,KABATAAN,PARTYLIST
5,DUTERTE YOUTH,PARTYLIST
6,ML,PARTYLIST
7,PBBM,PARTYLIST
8,P3PWD,PARTYLIST
9,MURANG KURYENTE,PARTYLIST
10,BICOL SARO,PARTYLIST
11,IPATUPAD,PARTYLIST
12,PATROL,PARTYLIST
13,JUAN PINOY,PARTYLIST
14,ARTE,PARTYLIST
15,WIFI,PARTYLIST
16,MAAGAP,PARTYLIST
17,UNITED SENIOR CITIZENS,PARTYLIST
18,EPANAW SAMBAYANAN,PARTYLIST
19,AKO PADAYON,PARTYLIST
20,TUCP,PARTYLIST
21,ACT TEACHERS,PARTYLIST
22,1PACMAN,PARTYLIST
23,TGP,PARTYLIST
24,DUMPER PTDA,PARTYLIST
25,ANAKALUSUGAN,PARTYLIST
26,AKSYON DAPAT,PARTYLIST
27,BHW,PARTYLIST
28,SULONG DIGNIDAD,PARTYLIST
29,BATANG QUIAPO,PARTYLIST
30,PBA,PARTYLIST
31,GILAS,PARTYLIST
32,AKO ILOCANO AKO,PARTYLIST
33,PAMILYANG MAGSASAKA,PARTYLIST
34,CLICK PARTY,PARTYLIST
35,ABANTE BISDAK,PARTYLIST
36,MANILA TEACHERS,PARTYLIST
37,PAMANA,PARTYLIST
38,NANAY,PARTYLIST
40,BABAE AKO,PARTYLIST
41,ARISE,PARTYLIST
42,MAGDALO,PARTYLIST
43,APEC,PARTYLIST
44,MAGBUBUKID,PARTYLIST
45,SSS-GSIS PENSYONADO,PARTYLIST
46,GABRIELA,PARTYLIST
47,TINGOG,PARTYLIST
48,APAT-DAPAT,PARTYLIST
49,AHON MAHIRAP,PARTYLIST
50,UGB,PARTYLIST
51,AKBAYAN,PARTYLIST
52,AGIMAT,PARTYLIST
53,PHILRECA,PARTYLIST
54,KAPUSO PM,PARTYLIST
55,ILOCANO DEFENDERS,PARTYLIST
56,1-RIDER PARTY-LIST,PARTYLIST
57,TICTOK,PARTYLIST
59,BAYAN MUNA,PARTYLIST
60,ANG PROBINSIYANO,PARTYLIST
61,BANAT,PARTYLIST
62,SBP,PARTYLIST
63,BUHAY,PARTYLIST
64,TULUNGAN TAYO,PARTYLIST
65,SAGIP,PARTYLIST
66,BTS BAYANING TSUPER,PARTYLIST
67,VENDORS,PARTYLIST
68,ACT-CIS,PARTYLIST
69,AKTIBONG KAAGAPAY,PARTYLIST
70,ASENSO PINOY,PARTYLIST
71,SOLO PARENTS,PARTYLIST
72,ANG KOMADRONA,PARTYLIST
73,PROMDI,PARTYLIST
74,PUSONG PINOY,PARTYLIST
75,KUSUG TAUSUG,PARTYLIST
76,DAMAYANG FILIPINO,PARTYLIST
77,MPBL,PARTYLIST
78,ANGAT,PARTYLIST
80,BOSES PARTY-LIST,PARTYLIST
81,ARANGKADA PILIPINO,PARTYLIST
82,AANGAT TAYO,PARTYLIST
83,OFW,PARTYLIST
84,BIDA KATAGUMPAY,PARTYLIST
85,KAMANGGAGAWA,PARTYLIST
86,BFF,PARTYLIST
87,BUNYOG,PARTYLIST
88,AGRI,PARTYLIST
89,SENIOR CITIZENS,PARTYLIST
90,4K,PARTYLIST
91,PBP,PARTYLIST
92,ONE COOP,PARTYLIST
93,CIBAC,PARTYLIST
94,BH - BAGONG HENERASYON,PARTYLIST
95,1AGILA,PARTYLIST
96,EDUAKSYON,PARTYLIST
97,ANG TINIG NG SENIORS,PARTYLIST
98,BG PARTY-LIST,PARTYLIST
99,PINOY AKO,PARTYLIST
100,H.E.L.P. PILIPINAS,PARTYLIST
101,HEALTH WORKERS,PARTYLIST
102,PEOPLE'S CHAMP,PARTYLIST
103,AA-KASOSYO PARTY,PARTYLIST
104,SOLID NORTH PARTY,PARTYLIST
105,ABAMIN,PARTYLIST
106,TRABAHO,PARTYLIST
107,ANGKASANGGA,PARTYLIST
108,TODA AKSYON,PARTYLIST
109,TURISMO,PARTYLIST
110,ABONO,PARTYLIST
111,ASAP NA,PARTYLIST
112,LINGAP,PARTYLIST
113,UNITED FRONTLINERS,PARTYLIST
114,KASAMBAHAY,PARTYLIST
115,TUTOK TO WIN,PARTYLIST
116,AKO OFW,PARTYLIST
117,AGAP,PARTYLIST
119,COOP-NATCCO,PARTYLIST
120,KABAYAN,PARTYLIST
121,1MUNTI,PARTYLIST
122,PINOY WORKERS,PARTYLIST
123,API PARTY,PARTYLIST
124,AKO BISAYA,PARTYLIST
125,KAMALAYAN,PARTYLIST
126,AKO TANOD,PARTYLIST
127,PROBINSYANO AKO,PARTYLIST
128,KABABAIHAN,PARTYLIST
129,RAM,PARTYLIST
130,ALONA,PARTYLIST
131,AKO BICOL,PARTYLIST
132,GP (GALING SA PUSO),PARTYLIST
133,KAUNLAD PINOY,PARTYLIST
134,ABP,PARTYLIST
135,CWS,PARTYLIST
136,LPGMA,PARTYLIST
137,A TEACHER,PARTYLIST
138,SWERTE,PARTYLIST
139,GABAY,PARTYLIST
140,'MALASAKIT@BAYANIHAN',PARTYLIST
141,AKAY NI SOL,PARTYLIST
142,LUNAS,PARTYLIST
143,DIWA,PARTYLIST
144,PINUNO,PARTYLIST
145,PAMILYA MUNA,PARTYLIST
146,BAGONG PILIPINAS,PARTYLIST
147,HUGPONG FEDERAL,PARTYLIST
148,TUPAD,PARTYLIST
149,LAANG KAWAL,PARTYLIST
150,PAMILYA KO,PARTYLIST
151,BBM,PARTYLIST
152,HEAL PH,PARTYLIST
153,ABANG LINGKOD,PARTYLIST
154,MAGSASAKA,PARTYLIST
155,MAHARLIKA,PARTYLIST
156,USWAG ILONGGO,PARTYLIST
